FBID,symbol
FBgn0262810,CG43181
FBgn0025616,CG13359
FBgn0040343,CG3713
FBgn0040892,CG14634
FBgn0029539,CG11663
FBgn0029568,CG11381
FBgn0040357,CG14624
FBgn0052811,CG32811
FBgn0052806,CG32806
FBgn0029589,CG14810
FBgn0029590,CG14811
FBgn0029596,CG14054
FBgn0025627,CG4194
FBgn0040353,CG14417
FBgn0029669,CG13021
FBgn0029694,CG15375
FBgn0037910,CG14708
FBgn0262980,CG43288
FBgn0262608,CG43134
FBgn0262609,CG43135
FBgn0029707,CG12688
FBgn0029725,CG2871
FBgn0029766,CG15784
FBgn0262611,CG43137
FBgn0053664,CG33664
FBgn0053669,CG33669
FBgn0053668,CG33668
FBgn0053667,CG33667
FBgn0053666,CG33666
FBgn0053665,CG33665
FBgn0265362,CG44303
FBgn0261849,CG42781
FBgn0261615,CG42704
FBgn0261616,CG42705
FBgn0052719,CG32719
FBgn0262612,CG43138
FBgn0029987,CG15330
FBgn0030033,CG1387
FBgn0262976,lawc
FBgn0052712,CG32712
FBgn0262900,CG43255
FBgn0266050,CG44815
FBgn0030195,CG2898
FBgn0052681,CG32681
FBgn0030290,CG11756
FBgn0030296,CG15196
FBgn0030307,CG33235
FBgn0262686,CG43156
FBgn0030373,moon
FBgn0052655,CG32655
FBgn0267163,CG45603
FBgn0030389,CG15927
FBgn0030429,CG4661
FBgn0030441,CG2209
FBgn0052639,CG32639
FBgn0265610,CG44428
FBgn0284233,CG46317
FBgn0030643,CG15641
FBgn0030667,CG15599
FBgn0284222,CG46306
FBgn0030807,CG13000
FBgn0264739,CG43997
FBgn0262487,CG43077
FBgn0030813,CG4949
FBgn0030832,CG10597
FBgn0287595,CG46464
FBgn0267967,corolla
FBgn0030905,CG15059
FBgn0030912,CG6023
FBgn0085357,CG34328
FBgn0264393,CG43841
FBgn0030936,CG6481
FBgn0030979,CG14190
FBgn0030981,CG14191
FBgn0047095,CG33939
FBgn0086782,amn
FBgn0260871,CG42581
FBgn0085361,CG34332
FBgn0040784,karr
FBgn0260867,CG42577
FBgn0031101,CG1631
FBgn0031104,jb
FBgn0260870,CG42580
FBgn0031127,CG1835
FBgn0031128,hydra
FBgn0031130,CG15452
FBgn0265608,CG44426
FBgn0031168,CG1722
FBgn0264086,CG43755
FBgn0051921,CG31921
FBgn0051797,CG31797
FBgn0031323,CG5139
FBgn0263080,CG43348
FBgn0263320,CG43401
FBgn0263321,CG43402
FBgn0264081,CG43750
FBgn0287218,CG46448
FBgn0264988,CG44139
FBgn0263322,CG43403
FBgn0053125,CG33125
FBgn0031526,CG8838
FBgn0085204,CG34175
FBgn0264363,CG43815
FBgn0083938,BG642163
FBgn0260428,CG42523
FBgn0031701,TotM
FBgn0265785,CG44574
FBgn0262814,CG43185
FBgn0002855,Acp26Aa
FBgn0031786,CG13989
FBgn0263585,CG43610
FBgn0262877,CG43232
FBgn0264343,CG43799
FBgn0264344,CG43800
FBgn0051909,CG31909
FBgn0031900,CG13786
FBgn0031920,CG6441
FBgn0261830,CG42762
FBgn0261831,CG42763
FBgn0051606,CG31606
FBgn0262359,CG43057
FBgn0032039,CG13385
FBgn0266845,CG45307
FBgn0032065,CG12438
FBgn0286875,CG46397
FBgn0287599,CG46468
FBgn0051709,CG31709
FBgn0051882,CG31882
FBgn0051710,CG31710
FBgn0032139,CG13116
FBgn0032184,CG13135
FBgn0032268,CG6138
FBgn0267254,CG45690
FBgn0032311,CG12517
FBgn0032318,CG14072
FBgn0040967,CG18666
FBgn0032335,CG14915
FBgn0263087,CG43355
FBgn0003313,sala
FBgn0263386,CG43438
FBgn0267327,Acp33A
FBgn0032370,CG12307
FBgn0032371,CG4983
FBgn0262786,CG43167
FBgn0265670,CG44477
FBgn0259962,Sfp33A1
FBgn0265349,Sfp33A4
FBgn0259963,Sfp33A2
FBgn0032385,CG16964
FBgn0051861,CG31861
FBgn0264361,CG43813
FBgn0265087,CG44198
FBgn0032472,CG9928
FBgn0264546,CG43925
FBgn0051848,CG31848
FBgn0032523,CG16956
FBgn0264432,CG43850
FBgn0261992,CG42810
FBgn0284224,CG46308
FBgn0028943,CG15638
FBgn0263206,CG43376
FBgn0032533,CG16888
FBgn0261628,CG42711
FBgn0028430,He
FBgn0262354,CG43052
FBgn0261566,CG42680
FBgn0261567,CG42681
FBgn0261568,CG42682
FBgn0032554,CG15278
FBgn0262875,CG43230
FBgn0028853,CG15263
FBgn0028850,CG15260
FBgn0266163,CG44869
FBgn0264990,CG44141
FBgn0264989,CG44140
FBgn0262150,CG42876
FBgn0028900,CG18518
FBgn0085197,CG34168
FBgn0040984,CG4440
FBgn0028899,CG31817
FBgn0259151,CG42266
FBgn0265578,CG44405
FBgn0051815,CG31815
FBgn0032590,CG4631
FBgn0051805,CG31805
FBgn0265579,CG44406
FBgn0267255,CG45691
FBgn0262857,CG43221
